context,symbol,count
 vós se veja,\nSem à dita de Aquiles ter enveja.,\,1
em vós se veja,\nSem à dita de Aquiles ter envej,a,1
 em vós se veja,\nSem à dita de Aquiles ter enve,j,1
dro em vós se veja,\nSem à dita de Aquiles ter e,n,1
andro em vós se veja,\nSem à dita de Aquiles ter, ,1
exandro em vós se veja,\nSem à dita de Aquiles t,e,1
Alexandro em vós se veja,\nSem à dita de Aquiles, ,1
 Alexandro em vós se veja,\nSem à dita de Aquile,s,1
e que Alexandro em vós se veja,\nSem à dita de A,q,1
e sorte que Alexandro em vós se veja,\nSem à dit,a,1
De sorte que Alexandro em vós se veja,\nSem à di,t,1
nDe sorte que Alexandro em vós se veja,\nSem à d,i,1
\nDe sorte que Alexandro em vós se veja,\nSem à ,d,1
te,\nDe sorte que Alexandro em vós se veja,\nSem ,�,1
ante,\nDe sorte que Alexandro em vós se veja,\nSe,m,1
�s cante,\nDe sorte que Alexandro em vós se veja,,\,1
e vós cante,\nDe sorte que Alexandro em vós se v,e,1
de vós cante,\nDe sorte que Alexandro em vós se ,v,1
o de vós cante,\nDe sorte que Alexandro em vós s,e,1
do de vós cante,\nDe sorte que Alexandro em vós ,s,1
undo de vós cante,\nDe sorte que Alexandro em vó,s,1
odo o mundo de vós cante,\nDe sorte que Alexandro, ,1
m todo o mundo de vós cante,\nDe sorte que Alexan,d,1
em todo o mundo de vós cante,\nDe sorte que Alexa,n,1
e em todo o mundo de vós cante,\nDe sorte que Ale,x,1
ue em todo o mundo de vós cante,\nDe sorte que Al,e,1
Fico que em todo o mundo de vós cante,\nDe sorte ,q,1
a\nFico que em todo o mundo de vós cante,\nDe sor,t,1
sa\nFico que em todo o mundo de vós cante,\nDe so,r,1
Musa\nFico que em todo o mundo de vós cante,\nDe ,s,1
a Musa\nFico que em todo o mundo de vós cante,\nD,e,1
leda Musa\nFico que em todo o mundo de vós cante,,\,1
da e leda Musa\nFico que em todo o mundo de vós c,a,1
timada e leda Musa\nFico que em todo o mundo de v�,�,1
já estimada e leda Musa\nFico que em todo o mundo, ,1
 já estimada e leda Musa\nFico que em todo o mund,o,1
a já estimada e leda Musa\nFico que em todo o mun,d,1
ha já estimada e leda Musa\nFico que em todo o mu,n,1
nha já estimada e leda Musa\nFico que em todo o m,u,1
inha já estimada e leda Musa\nFico que em todo o ,m,1
 minha já estimada e leda Musa\nFico que em todo ,o,1
e,\nA minha já estimada e leda Musa\nFico que em ,t,1
te,\nA minha já estimada e leda Musa\nFico que em, ,1
nte,\nA minha já estimada e leda Musa\nFico que e,m,1
dante,\nA minha já estimada e leda Musa\nFico que, ,1
rudante,\nA minha já estimada e leda Musa\nFico q,u,1
s e Trudante,\nA minha já estimada e leda Musa\nF,i,1
ocos e Trudante,\nA minha já estimada e leda Musa,\,1
rocos e Trudante,\nA minha já estimada e leda Mus,a,1
Marrocos e Trudante,\nA minha já estimada e leda ,M,1
 Marrocos e Trudante,\nA minha já estimada e leda, ,1
 de Marrocos e Trudante,\nA minha já estimada e l,e,1
s muros de Marrocos e Trudante,\nA minha já estim,a,1
nOs muros de Marrocos e Trudante,\nA minha já est,i,1
a\nOs muros de Marrocos e Trudante,\nA minha já e,s,1
sa\nOs muros de Marrocos e Trudante,\nA minha já ,e,1
lusa\nOs muros de Marrocos e Trudante,\nA minha j�,�,1
elusa\nOs muros de Marrocos e Trudante,\nA minha j,�,1
mpelusa\nOs muros de Marrocos e Trudante,\nA minha, ,1
Ampelusa\nOs muros de Marrocos e Trudante,\nA minh,a,1
campos de Ampelusa\nOs muros de Marrocos e Trudant,e,1
s campos de Ampelusa\nOs muros de Marrocos e Truda,n,1
