position,entropy_value,k_used
30,4.70044,30
31,4.70044,30
32,4.70044,30
33,4.70044,30
34,4.70044,30
35,4.70044,30
36,4.70044,30
37,4.70044,30
38,4.70044,30
39,4.70044,30
40,4.70044,30
41,4.70044,30
42,4.70044,30
43,4.70044,30
44,4.70044,30
45,4.70044,30
46,4.70044,30
47,4.70044,30
48,4.70044,30
49,4.70044,30
50,4.70044,30
51,4.70044,30
52,4.70044,30
53,4.70044,30
54,4.70044,30
55,4.70044,30
56,4.70044,30
57,4.70044,30
58,4.70044,30
59,4.70044,30
60,4.70044,30
61,4.70044,30
62,4.70044,30
63,4.70044,30
64,4.70044,30
65,4.70044,30
66,4.70044,30
67,4.70044,30
68,4.70044,30
69,4.70044,30
70,4.70044,30
71,4.70044,30
72,4.70044,30
73,4.70044,30
74,4.70044,30
75,4.70044,30
76,4.70044,30
77,4.70044,30
78,4.70044,30
79,4.70044,30
80,4.70044,30
81,4.70044,30
82,4.70044,30
83,4.70044,30
84,4.70044,30
85,4.70044,30
86,4.70044,30
87,4.70044,30
88,4.70044,30
89,4.70044,30
90,4.70044,30
91,4.70044,30
92,4.70044,30
93,4.70044,30
94,4.70044,30
95,4.70044,30
96,4.70044,30
97,4.70044,30
98,4.70044,30
99,4.70044,30
100,4.70044,30
101,4.70044,30
102,4.70044,30
103,4.70044,30
104,4.70044,30
105,4.70044,30
106,4.70044,30
107,4.70044,30
108,4.70044,30
109,4.70044,30
110,4.70044,30
111,4.70044,30
112,4.70044,30
113,4.70044,30
114,4.70044,30
115,4.70044,30
116,4.70044,30
117,4.70044,30
118,4.70044,30
119,4.70044,30
120,4.70044,30
121,4.70044,30
122,4.70044,30
123,4.70044,30
124,4.70044,30
125,4.70044,30
126,4.70044,30
127,4.70044,30
128,4.70044,30
129,4.70044,30
130,4.70044,30
131,4.70044,30
132,4.70044,30
133,4.70044,30
134,4.70044,30
135,4.70044,30
136,4.70044,30
137,4.70044,30
138,4.70044,30
139,4.70044,30
140,4.70044,30
141,4.70044,30
142,4.70044,30
143,4.70044,30
144,4.70044,30
145,4.70044,30
146,4.70044,30
147,4.70044,30
148,4.70044,30
149,4.70044,30
150,4.70044,30
151,4.70044,30
152,4.70044,30
153,4.70044,30
154,4.70044,30
155,4.70044,30
156,4.70044,30
157,4.70044,30
158,4.70044,30
159,4.70044,30
160,4.70044,30
161,4.70044,30
162,4.70044,30
163,4.70044,30
164,4.70044,30
165,4.70044,30
166,4.70044,30
167,4.70044,30
168,4.70044,30
169,4.70044,30
170,4.70044,30
171,4.70044,30
172,4.70044,30
173,4.70044,30
174,4.70044,30
175,4.70044,30
176,4.70044,30
177,4.70044,30
178,4.70044,30
179,4.70044,30
180,4.70044,30
181,4.70044,30
182,4.70044,30
183,4.70044,30
184,4.70044,30
185,4.70044,30
186,4.70044,30
187,4.70044,30
188,4.70044,30
189,4.70044,30
190,4.70044,30
191,4.70044,30
192,4.70044,30
193,4.70044,30
194,4.70044,30
195,4.70044,30
196,4.70044,30
197,4.70044,30
198,4.70044,30
199,4.70044,30
200,4.70044,30
201,4.70044,30
202,4.70044,30
203,4.70044,30
204,4.70044,30
205,4.70044,30
206,4.70044,30
207,4.70044,30
208,4.70044,30
209,4.70044,30
210,4.70044,30
211,4.70044,30
212,4.70044,30
213,4.70044,30
214,4.70044,30
215,4.70044,30
216,4.70044,30
217,4.70044,30
218,4.70044,30
219,4.70044,30
220,4.70044,30
221,4.70044,30
222,4.70044,30
223,4.70044,30
224,4.70044,30
225,4.70044,30
226,4.70044,30
227,4.70044,30
228,4.70044,30
229,4.70044,30
230,4.70044,30
231,4.70044,30
232,4.70044,30
233,4.70044,30
234,4.70044,30
235,4.70044,30
236,4.70044,30
237,4.70044,30
238,4.70044,30
239,4.70044,30
240,4.70044,30
241,4.70044,30
242,4.70044,30
243,4.70044,30
244,4.70044,30
245,4.70044,30
246,4.70044,30
247,4.70044,30
248,4.70044,30
249,4.70044,30
250,4.70044,30
251,4.70044,30
252,4.70044,30
253,4.70044,30
254,4.70044,30
255,4.70044,30
256,4.70044,30
257,4.70044,30
258,4.70044,30
259,4.70044,30
260,4.70044,30
261,4.70044,30
262,4.70044,30
263,4.70044,30
264,4.70044,30
265,4.70044,30
266,4.70044,30
267,4.70044,30
268,4.70044,30
269,4.70044,30
270,4.70044,30
271,4.70044,30
272,4.70044,30
273,4.70044,30
274,4.70044,30
275,4.70044,30
276,4.70044,30
277,4.70044,30
278,4.70044,30
279,4.70044,30
280,4.70044,30
281,4.70044,30
282,4.70044,30
283,4.70044,30
284,4.70044,30
285,4.70044,30
286,4.70044,30
287,4.70044,30
288,4.70044,30
289,4.70044,30
290,4.70044,30
291,4.70044,30
292,4.70044,30
293,4.70044,30
294,4.70044,30
295,4.70044,30
296,4.70044,30
297,4.70044,30
298,4.70044,30
299,4.70044,30
300,4.70044,30
301,4.70044,30
302,4.70044,30
303,4.70044,30
304,4.70044,30
305,4.70044,30
306,4.70044,30
307,4.70044,30
308,4.70044,30
309,4.70044,30
310,4.70044,30
311,4.70044,30
312,4.70044,30
313,4.70044,30
314,4.70044,30
315,4.70044,30
316,4.70044,30
317,4.70044,30
318,4.70044,30
319,4.70044,30
320,4.70044,30
321,4.70044,30
322,4.70044,30
323,4.70044,30
324,4.70044,30
325,4.70044,30
326,4.70044,30
327,4.70044,30
328,4.70044,30
329,4.70044,30
330,4.70044,30
331,4.70044,30
332,4.70044,30
333,4.70044,30
334,4.70044,30
335,4.70044,30
336,4.70044,30
337,4.70044,30
338,4.70044,30
339,4.70044,30
340,4.70044,30
341,4.70044,30
342,4.70044,30
343,4.70044,30
344,4.70044,30
345,4.70044,30
346,4.70044,30
347,4.70044,30
348,4.70044,30
349,4.70044,30
350,4.70044,30
351,4.70044,30
352,4.70044,30
353,4.70044,30
354,4.70044,30
355,4.70044,30
356,4.70044,30
357,4.70044,30
358,4.70044,30
359,4.70044,30
360,4.70044,30
361,4.70044,30
362,4.70044,30
363,4.70044,30
364,4.70044,30
365,4.70044,30
366,4.70044,30
367,4.70044,30
368,4.70044,30
369,4.70044,30
370,4.70044,30
371,4.70044,30
372,4.70044,30
373,4.70044,30
374,4.70044,30
375,4.70044,30
376,4.70044,30
377,4.70044,30
378,4.70044,30
379,4.70044,30
380,4.70044,30
381,4.70044,30
382,4.70044,30
383,4.70044,30
384,4.70044,30
385,4.70044,30
386,4.70044,30
387,4.70044,30
388,4.70044,30
389,4.70044,30
390,4.70044,30
391,4.70044,30
392,4.70044,30
393,4.70044,30
394,4.70044,30
395,4.70044,30
396,4.70044,30
397,4.70044,30
398,4.70044,30
399,4.70044,30
400,4.70044,30
401,4.70044,30
402,4.70044,30
403,4.70044,30
404,4.70044,30
405,4.70044,30
406,4.70044,30
407,4.70044,30
408,4.70044,30
409,4.70044,30
410,4.70044,30
411,4.70044,30
412,4.70044,30
413,4.70044,30
414,4.70044,30
415,4.70044,30
416,4.70044,30
417,4.70044,30
418,4.70044,30
419,4.70044,30
420,4.70044,30
421,4.70044,30
422,4.70044,30
423,4.70044,30
424,4.70044,30
425,4.70044,30
426,4.70044,30
427,4.70044,30
428,4.70044,30
429,4.70044,30
430,4.70044,30
431,4.70044,30
432,4.70044,30
433,4.70044,30
434,4.70044,30
435,4.70044,30
436,4.70044,30
437,4.70044,30
438,4.70044,30
439,4.70044,30
440,4.70044,30
441,4.70044,30
442,4.70044,30
443,4.70044,30
444,4.70044,30
445,4.70044,30
446,4.70044,30
447,4.70044,30
448,4.70044,30
449,4.70044,30
450,4.70044,30
451,4.70044,30
452,4.70044,30
453,4.70044,30
454,4.70044,30
455,4.70044,30
456,4.70044,30
457,4.70044,30
458,4.70044,30
459,4.70044,30
460,4.70044,30
461,4.70044,30
462,4.70044,30
463,4.70044,30
464,4.70044,30
465,4.70044,30
466,4.70044,30
467,4.70044,30
468,4.70044,30
469,4.70044,30
470,4.70044,30
471,4.70044,30
472,4.70044,30
473,4.70044,30
474,4.70044,30
475,4.70044,30
476,4.70044,30
477,4.70044,30
478,4.70044,30
479,4.70044,30
480,4.70044,30
481,4.70044,30
482,4.70044,30
483,4.70044,30
484,4.70044,30
485,4.70044,30
486,4.70044,30
487,4.70044,30
488,4.70044,30
489,4.70044,30
490,4.70044,30
491,4.70044,30
492,4.70044,30
493,4.70044,30
494,4.70044,30
495,4.70044,30
496,4.70044,30
497,4.70044,30
498,4.70044,30
499,4.70044,30
500,4.70044,30
501,4.70044,30
502,4.70044,30
503,4.70044,30
504,4.70044,30
505,4.70044,30
506,4.70044,30
507,4.70044,30
508,4.70044,30
509,4.70044,30
510,4.70044,30
511,4.70044,30
512,4.70044,30
513,4.70044,30
514,4.70044,30
515,4.70044,30
516,4.70044,30
517,4.70044,30
518,4.70044,30
519,4.70044,30
520,4.70044,30
521,4.70044,30
522,4.70044,30
523,4.70044,30
524,4.70044,30
525,4.70044,30
526,4.70044,30
527,4.70044,30
528,4.70044,30
529,4.70044,30
530,4.70044,30
531,4.70044,30
532,4.70044,30
533,4.70044,30
