position,entropy_value
3,1.58496
4,4.41504
5,3.11746
6,1.73835
7,0.310788
8,1.31228
9,0.318682
10,3.51493
11,1.05063
12,3.45116
13,2.34915
14,0.0207586
15,5.5429
16,1.56294
17,2.41504
18,3.01197
19,1.76553
20,1.87368
21,3.31159
22,3.55558
23,2.15407
24,2.21586
25,4.43741
26,0.847997
27,3.10535
28,2.22239
29,3.70966
30,0.799701
31,2.02385
32,2.37366
33,3.52629
34,0.0227201
35,0.198884
36,0.201882
37,3.61743
38,2.95693
39,0.848858
40,4.75822
41,7.67948
42,2.07039
43,1.41504
44,3.89077
45,1.77761
46,0.726239
47,3.20827
48,6.29068
49,1.10604
50,4.005
51,2.22239
52,3.39518
53,1.40054
54,1.35147
55,1.848
56,7.12584
57,1.45066
58,0.100694
59,0.415037
60,0.102362
61,0.398549
62,1.59495
63,3.79735
64,2.4292
65,3.63227
66,0.664397
67,0.379346
68,0.828145
69,3.7288
70,0.831602
71,1.9254
72,3.22386
73,1.76553
74,1.87368
75,4.34635
76,3.70044
77,0.924899
78,0.181838
79,0.0907655
80,0.436099
81,3.45943
82,1.01902
83,0.885468
84,3.35344
85,4.69499
86,1.09761
87,1.85226
88,2.14785
89,0.941732
90,4.34635
91,1.57268
92,3.3339
93,0.885829
94,1.44846
95,0.120294
96,1.90689
97,0.479993
98,2.02385
99,2.37366
100,4.59042
101,1.76081
102,6.06609
103,0.241008
104,1.56544
105,3.06088
106,1.97728
107,1.9349
108,1.59704
109,3.28898
110,7.49985
111,0.157541
112,0.874469
113,1.2935
114,1.55702
115,2.95087
116,2.88958
117,4.0579
118,4.54432
119,0.678072
120,2.45275
121,0.848858
122,6.95087
123,3.45943
124,2.41504
125,1
126,2
127,5.9386
128,1.73697
129,0.736966
130,4.29768
131,2.4292
132,4.14684
133,2.9386
134,0.128324
135,3.33498
136,2.14684
137,1.75933
138,2.46919
139,1.84629
140,0.694374
141,1.28379
142,1.17688
143,3.59352
144,1.05063
145,5.27219
146,2.55582
147,1.54432
148,1.22803
149,1.37242
150,0.342543
151,2.63161
152,0.505966
153,3.51493
154,2.34013
155,4.35755
156,0.471306
157,0.0565835
158,1.53605
159,3.39593
160,0.772867
161,2.02385
162,2.37366
163,5.24249
164,0.371969
165,1.98089
166,0.187627
167,0.397563
168,3.03185
169,2.22479
170,0.809569
171,4.80823
172,0.00846158
173,0.155754
174,0.393772
175,4.27405
176,2.40831
177,1.65821
178,2.9386
179,1.29956
180,2.10692
181,2.70782
182,2.72247
183,1.94753
184,3.15622
185,1.3614
186,3.36084
187,1.91754
188,0.699421
189,1.53605
190,1.37707
191,6.62272
192,1.72792
193,0.0356239
194,0.733213
195,1.23491
196,3.38348
197,2.4292
198,4.14684
199,0.742202
200,6.00749
201,0.874469
202,1.51694
203,3.70423
204,1.65355
205,1.25691
206,6.5157
207,1.67611
208,0.328623
209,0.183514
210,0.945237
211,1.75899
212,6.14126
213,0.904843
214,3.37716
215,2.08377
216,2.56071
217,0.836501
218,2
219,3.05177
220,7.86212
221,0.192645
222,2.36257
223,1.75002
224,0.295456
225,0.536053
226,3.67948
227,2.35364
228,1.9349
229,7.49185
230,1.22239
231,2.32193
232,1
233,0.902153
234,5.68182
235,0.103711
236,0.0819112
237,2.08387
238,0.0554951
239,2.7866
240,1.37851
241,2.14951
242,0.00391505
243,0.155754
244,0.393772
245,3.70251
246,2.79256
247,0.966833
248,1.01683
249,1.42545
250,0.990002
251,4.15791
252,3.81237
253,1.88381
254,1.51937
255,0.0824622
256,0.754888
257,1.60266
258,5
259,3.49517
260,1.9349
261,4.40439
262,4.64386
263,2
264,1.58496
265,2.58496
266,3
267,1.93441
268,1.48081
269,0.572579
270,0.29956
271,3.06609
272,1.82742
273,0.518754
274,4.44589
275,2.5615
276,3.38888
277,0.973033
278,0.103093
279,0.133267
280,2.45468
281,0.781576
282,4.36717
283,5.32193
284,1.58496
285,0.485427
286,2
287,1.1375
288,1.47032
289,3.3159
290,1.18763
291,5.6865
292,2.32193
293,3.32193
294,0.125531
295,0.843274
296,4.52633
297,0.777608
298,2.00439
299,0.695743
300,7.7039
301,0.321928
302,0.0819112
303,3.53318
304,3.16993
305,0.446402
306,2.19775
307,0.00391505
308,0.155754
309,0.393772
310,5.17719
311,1.96614
312,0.699421
313,1.53605
314,3.59946
315,1.59704
316,2.51525
317,3.01346
318,4.38543
319,1.94753
320,3.5025
321,1.58496
322,3.52925
323,1.82081
324,0.831557
325,5.97607
326,1.22239
327,4.24793
328,2.32193
329,0.485427
330,2.16993
331,1.24874
332,6.44846
333,2.47805
334,0.206451
335,0.765535
336,2.12553
337,2.00765
338,2.41143
339,1.078
340,2.45291
341,0.451585
342,3.21715
343,2.90798
344,0.518754
345,4.26849
346,1.60901
347,1.2305
348,0.803904
349,0.342543
350,2.63161
351,0.505966
352,4.25661
353,2.08746
354,6.94544
355,1.16993
356,1.32193
357,1.32931
358,3.3159
359,1.18763
360,5.6865
361,1.22239
362,0.394279
363,4.5025
364,3.61186
365,1.49228
366,2.05445
367,0.494765
368,1.32193
369,2.8314
370,1.08076
371,3.20945
372,1.01465
373,0.885468
374,3.55243
375,4.91778
376,4.37851
377,1.47805
378,3.15622
379,4.50524
380,2.24961
381,2.51724
382,3.58849
383,3.26849
384,1.9349
385,1.59704
386,2.51525
387,1.13572
388,6.15626
389,3.32193
390,3.65951
391,4.64386
392,2.3505
393,3.29975
394,1.82081
395,0.831557
396,5.31711
397,2.62449
398,0.559427
399,2.89812
400,2.58496
401,0.0272215
402,0.843274
403,4.52633
404,0.777608
405,2.00439
406,2.67557
407,0.876618
408,2.19775
409,0.00391505
410,0.155754
411,0.393772
412,4.27405
413,1.95167
414,0.935727
415,0.422172
416,4.12841
417,4.80735
418,0.912537
419,2.60602
420,2.76553
421,0.505966
422,4.25661
423,3.30986
424,1.27302
425,1
426,3.22239
427,0.777608
428,1.10962
429,3.34767
430,1.18763
431,6.10154
432,0.584963
433,0.847997
434,3.75489
435,3.1383
436,2.08607
437,3.26679
438,2.47892
439,0.848858
440,5.5103
441,2.36923
442,2.66091
443,2.56768
444,2.24159
445,2.34395
446,0.848858
447,5.11437
448,1.95361
449,1.5886
450,1.5519
451,1.09354
452,1.17852
453,5.55629
454,3.70598
455,3.41954
456,0.263034
457,1
458,2.20945
459,1.70589
460,3.11548
461,1.82081
462,0.831557
463,5.31711
464,4.20945
465,2.16993
466,3.16993
467,0.784271
468,2.10352
469,3.54344
470,1.82081
471,0.831557
472,0.806149
473,3.43348
474,2.01381
475,2.34973
476,1.83588
477,3.13516
478,2.45943
479,1.11548
480,4.39689
481,3
482,3.17493
483,3.2711
484,4.36712
485,1.49185
486,0.935727
487,0.422172
488,3.92811
489,1.558
490,1.60486
491,1.32524
492,0.615082
493,3.95087
494,2.03308
495,1.02985
496,1.37046
497,0.607924
498,2.60915
499,4.21378
500,0.584963
501,1.08314
502,2.90689
503,1.60586
504,3.3505
505,3.16651
506,0.966833
507,1.01683
508,1.42545
509,0.990002
510,4.34136
511,2.48829
512,2.23507
513,2.6746
514,6.36741
515,0.0480943
516,1.07276
517,0.321928
518,2.60666
519,1
520,3.17251
521,0.949374
522,4.64111
523,3.15966
524,2.42502
525,2.2115
526,1.92892
527,4.24393
528,0.846377
529,1.5521
530,2.68557
531,1.15582
532,3.21715
533,4.15796
534,2.85383
535,0.607924
536,4.39575
537,4.11151
538,3.70044
539,1.58496
540,1.58496
541,2
542,1.12029
543,2.62599
544,1.22677
545,3.41653
546,2.22687
547,0.809569
548,4.29855
549,6.16993
550,0.0801703
551,1.30485
552,1.32193
553,8.16993
554,5.08746
